cluster,state,district,date_announced,date_last_onset,category,status,cases_new,cases_total,cases_active,tests,icu,deaths,recovered,summary_bm,summary_en
KLUSTER KM4 DENGKIL BANTING,Selangor,SEPANG,31/7/2021,22/8/2021,detentionCentre,ended,0,105,0,174,0,0,105,,
KLUSTER INDUSTRI JALAN BEKOK - PALOH,Johor,"SEGAMAT, KLUANG",31/7/2021,23/8/2021,workplace,ended,0,85,0,277,0,1,84,,
KLUSTER GAMBARON 2,Sabah,TELUPID,31/7/2021,23/8/2021,religious,ended,0,175,0,344,0,0,175,,
KLUSTER JALAN CORAK,Sabah,TONGOD,31/7/2021,23/8/2021,community,ended,0,161,0,384,0,0,161,,
KLUSTER KAMPUNG GIT,Sarawak,KUCHING,31/7/2021,28/8/2021,community,ended,0,189,0,210,0,0,189,,
KLUSTER DAH PERDANA INDUSTRI KULIM,Kedah,"BALING, KULIM",31/7/2021,8/10/2021,workplace,ended,0,79,0,170,0,0,79,,
KLUSTER KAMPUNG KELUAT,"Kelantan,Selangor","BACHOK, PETALING",31/7/2021,8/11/2021,community,ended,0,17,0,22,0,0,17,,
KLUSTER KAMPUNG GUCHIL TUJUH,Kelantan,KUALA KRAI,31/7/2021,8/11/2021,community,ended,0,39,0,45,0,0,39,,
KLUSTER TAPAK BINA SETIA MARINA,Selangor,SEPANG,31/7/2021,9/11/2021,workplace,ended,0,203,0,436,0,0,203,,
KLUSTER TAPAK BINA HEVEA,Selangor,PETALING,1/8/2021,18/1/2021,workplace,ended,0,65,0,650,0,0,65,,
KLUSTER KAURAN,Sabah,"KENINGAU, PAPAR, BEAUFORT & PENAMPANG",1/8/2021,21/1/2021,community,ended,0,152,0,712,0,2,150,,
KLUSTER SETAPAK INDAH,W.P. Kuala Lumpur,TITIWANGSA,1/8/2021,22/1/2021,community,ended,0,33,0,49,0,0,33,,
KLUSTER KAPITAL,W.P. Kuala Lumpur,"LEMBAH PANTAI, CHERAS, TITIWANGSA & KEPONG",1/8/2021,27/1/2021,workplace,ended,0,123,0,216,0,0,123,,
KLUSTER JALAN KLINIK,Selangor,KLANG & PETALING,1/8/2021,21/2/2021,workplace,ended,0,240,0,553,0,0,240,,
KLUSTER BUKIT BELIMBING,Selangor,PETALING & KLANG,1/8/2021,2/4/2021,workplace,ended,0,40,0,912,0,0,40,,
KLUSTER LENGKOK PANTAI,W.P. Kuala Lumpur,LEMBAH PANTAI & TITIWANGSA,2/8/2021,14/2/2021,workplace,ended,0,35,0,123,0,0,35,,
KLUSTER KAMPUNG TANDAK,"Kelantan,Terengganu","BESUT, SETIU & BACHOK",2/8/2021,17/2/2021,workplace,ended,0,33,0,258,0,0,33,,
KLUSTER SEBANGKOI,Sarawak,SRI AMAN,2/8/2021,20/2/2021,community,ended,0,34,0,564,0,0,34,,
KLUSTER JALAN SUNGAI RASA,Selangor,KLANG,2/8/2021,20/2/2021,workplace,ended,0,82,0,122,0,0,82,,
KLUSTER JALAN TEKNOLOGI,Selangor,"PETALING, GOMBAK & KLANG",2/8/2021,22/2/2021,workplace,ended,0,112,0,425,0,0,112,,
KLUSTER TAPAK BINA PERSIARAN MOKHTAR,Selangor,KUALA SELANGOR,2/8/2021,25/2/2021,workplace,ended,0,86,0,148,0,0,86,,
KLUSTER PERSIARAN HULU,Selangor,PETALING,2/8/2021,2/7/2021,workplace,ended,0,19,0,54,0,0,19,,
KLUSTER JALAN CYBER LIMA,Johor,KOT A TINGGI & JOHOR BAHRU,2/8/2021,2/7/2021,workplace,ended,0,101,0,150,0,0,101,,
KLUSTER SRI MENANTI,"Johor,Kelantan",KLUANG & KUALA KRAI,2/8/2021,2/10/2021,workplace,ended,0,27,0,57,0,0,27,,
KLUSTER TAMAN BUKIT PETALING,Negeri Sembilan,SEREMBAN & JELEBU,2/8/2021,2/10/2021,highRisk,ended,0,27,0,244,0,0,27,,
KLUSTER BATU 38,Sabah,KALABAKAN,2/8/2021,2/11/2021,workplace,ended,0,21,0,108,0,0,21,,
KLUSTER JALAN HARMONIUM,Johor,JOHOR BAHRU,2/8/2021,2/11/2021,workplace,ended,0,53,0,104,0,0,53,,
KLUSTER LAMAN DESARU,Johor,KOTA TINGGI,2/8/2021,2/12/2021,workplace,ended,0,18,0,239,0,0,18,,
KLUSTER JALAN I-PARK TIGA,Johor,KULAI,3/8/2021,13/3/2021,workplace,ended,0,9,0,44,0,0,9,,
KLUSTER BUKIT BAYAS,"Johor,Selangor,Perlis","KUALA TERENGGANU, KUALA NERUS, MARANG, HULU TERENGGANU, SETIU, JOHOR BAHRU, PETALING",3/8/2021,14/3/2021,community,ended,0,53,0,1049,0,0,53,,
KLUSTER CYBER 72,Johor,"KULAI, JOHOR BAHRU",3/8/2021,15/3/2021,workplace,ended,0,29,0,174,0,1,28,,
KLUSTER JALAN LOKE YEW,W.P. Kuala Lumpur,CHERAS,3/8/2021,3/9/2021,workplace,ended,0,14,0,19,0,0,14,,
KLUSTER PERUSAHAAN PERAI TIGA,Pulau Pinang,"SEBERANG PERAI TENGAH, SEBERANG PERAI UTARA, TIMUR LAUT",4/8/2021,13/4/2021,workplace,ended,0,68,0,207,0,0,68,,
KLUSTER INDUSTRI PARIT RAJA,Johor,BATU PAHAT,4/8/2021,15/4/2021,workplace,ended,0,69,0,474,0,0,69,,
KLUSTER PADANG MANGGIS,Pahang,"PEKAN, KUANTAN, MARAN, BENTONG, TEMERLOH",4/8/2021,27/4/2021,community,ended,0,38,0,282,0,0,38,,
KLUSTER JALAN TAMING,Selangor,"HULU LANGAT, PETALING",4/8/2021,4/7/2021,workplace,ended,0,9,0,19,0,0,9,,
KLUSTER BECHAH PALAS,Kelantan,PASIR MAS,5/8/2021,6/3/2021,community,ended,0,52,0,81,0,0,52,,
KLUSTER JALAN PADANG GOLF,Selangor,HULU SELANGOR,5/8/2021,15/5/2021,workplace,ended,0,23,0,60,0,0,23,,
KLUSTER DAH PUTIH,Kedah,"KOTA SETAR, KUALA MUDA, KUBANG PASU, LANGKAWI",5/8/2021,17/5/2021,community,ended,0,72,0,141,0,2,72,,
KLUSTER KAMPUNG KEBUN SAYUR,Johor,MUAR,5/8/2021,17/5/2021,workplace,ended,0,35,0,152,0,0,35,,
KLUSTER JALAN DESARU,Johor,"KOTA TINGGI, JOHOR BAHRU",5/8/2021,17/5/2021,workplace,ended,0,27,0,153,0,0,27,,
KLUSTER JALAN BATU MAUNG,Pulau Pinang,"BARAT DAYA, SEBERANG PERAI SELATAN, TIMUR LAUT",5/8/2021,24/5/2021,education,ended,0,35,0,458,0,0,35,,
KLUSTER KERAMAT,Sabah,SEMPORNA,5/8/2021,27/5/2021,community,ended,0,19,0,139,0,0,19,,
KLUSTER JALAN MAWAR 20,Johor,JOHOR BAHRU,5/8/2021,28/5/2021,religious,ended,0,92,0,119,0,2,90,,
KLUSTER LORONG KUBOR,Kelantan,PASIR MAS,5/8/2021,30/5/2021,community,ended,0,24,0,60,0,1,23,,
KLUSTER PASAR BORONG KL 3,"Negeri Sembilan,Selangor,W.P. Kuala Lumpur","KEPONG, TITIWANGSA, LEMBAH PANTAI, CHERAS, GOMBAK, HULU LANGAT, HULU SELANGOR, PETALING, KLANG, SABAK BERNAM, KUALA SELANGOR, KUALA PILAH",5/8/2021,25/6/2021,workplace,ended,0,524,0,2271,0,1,523,,
KLUSTER JALAN LIMA PULUH SATU,Selangor,PETALING,5/8/2021,5/7/2021,workplace,ended,0,19,0,52,0,0,19,,
KLUSTER JELALONG,Sarawak,"BINTULU, SEBAUH",5/8/2021,5/7/2021,community,ended,0,22,0,198,0,1,21,,
KLUSTER JALAN STADIUM 2,"Selangor,W.P. Kuala Lumpur","LEMBAH PANTAI, CHERAS, TITIWANGSA, KEPONG, HULU LANGAT, PETALING, KUALA LANGAT, KUALA SELANGOR",5/8/2021,5/7/2021,workplace,ended,0,18,0,85,0,0,18,,
KLUSTER JALAN LIMBUNGAN JAYA,Melaka,MELAKA TENGAH,5/8/2021,5/7/2021,workplace,ended,0,10,0,53,0,0,10,,
KLUSTER JALAN ERA,Negeri Sembilan,"SEREMBAN, PORT DICKSON, REMBAU, JEMPOL",5/8/2021,6/9/2021,workplace,ended,0,174,0,418,0,0,174,,
KLUSTER RANTAU SIANTAN,Pahang,"TEMERLOH, MARAN, KUANTAN, JERANTUT",5/8/2021,5/10/2021,community,ended,0,17,0,222,0,0,17,,
KLUSTER TANJUNG ARU BARU,Sabah,KOTA KINABALU,6/8/2021,7/1/2021,community,ended,0,48,0,213,0,1,47,,
KLUSTER JALAN EQUINE,Selangor,"PETALING, HULU LANGAT, GOMBAK, KUALA LANGAT",6/8/2021,7/2/2021,workplace,ended,0,49,0,119,0,0,49,,
KLUSTER ULU TERU,Sarawak,"MIRI, BELURU",6/8/2021,7/2/2021,community,ended,0,50,0,468,0,0,50,,
KLUSTER OCEAN BLUE,Sabah,KOTA KINABALU,6/8/2021,7/4/2021,workplace,ended,0,205,0,213,0,0,205,,
KLUSTER TAPAK BINA MUDA 2,W.P. Kuala Lumpur,"TITIWANGSA, KEPONG, CHERAS",6/8/2021,8/4/2021,workplace,ended,0,106,0,134,0,1,105,,
KLUSTER TELUK KABUNG,Johor,JOHOR BAHRU,6/8/2021,14/6/2021,highRisk,ended,0,50,0,132,0,0,50,,
KLUSTER JALAN SRI JAAFAR,Pahang,BENTONG,6/8/2021,16/6/2021,workplace,ended,0,37,0,155,0,0,37,,
KLUSTER SEGARA,Sabah,KOTA KINABALU,6/8/2021,19/6/2021,workplace,ended,0,77,0,141,0,0,77,,
KLUSTER DAH MAHANG MERAH,Kedah,"KULIM, KUALA MUDA",6/8/2021,19/6/2021,workplace,ended,0,39,0,104,0,0,39,,
KLUSTER JALAN KOTA JELASIN,Kelantan,"KOTA BHARU, TUMPAT",6/8/2021,20/6/2021,workplace,ended,0,19,0,33,0,0,19,,
KLUSTER JALAN CEMPEDAK 2,W.P. Kuala Lumpur,KEPONG,6/8/2021,24/6/2021,highRisk,ended,0,36,0,56,0,3,33,,
KLUSTER INDUSTRI TANJUNG AGAS,Johor,TANGKAK,6/8/2021,26/6/2021,workplace,ended,0,44,0,100,0,0,44,,
KLUSTER JALAN ENAM C,Selangor,"HULU LANGAT, KLANG, PETALING, SEPANG",6/8/2021,29/6/2021,workplace,ended,0,23,0,48,0,0,23,,
KLUSTER CORAL,Sabah,KOTA KINABALU,6/8/2021,30/6/2021,workplace,ended,0,70,0,283,0,0,70,,
KLUSTER JALAN SATU OLAK DUA,Selangor,KUALA LANGAT,6/8/2021,6/7/2021,workplace,ended,0,6,0,68,0,0,6,,
KLUSTER ULU SEBAKONG,Sarawak,MUKAH,6/8/2021,6/7/2021,community,ended,0,61,0,147,0,1,60,,
KLUSTER JALAN ALAMANDA PRESINT SATU,W.P. Putrajaya,PUTRAJAYA,6/8/2021,6/7/2021,workplace,ended,0,11,0,44,0,0,11,,
KLUSTER JALAN SERULING,Pulau Pinang,"SEBERANG PERAI SELATAN, SEBERANG PERAI TENGAH",6/8/2021,14/7/2021,workplace,ended,0,96,0,620,0,0,96,,
KLUSTER RANTAU KENANGA," Pahang, Perak","MARAN, BERA, TEMERLOH, JERANTUT, KUANTAN, BENTONG, LIPIS, HILIR PERAK",6/8/2021,27/7/2021,community,ended,0,568,0,4772,0,37,531,,
KLUSTER JALAN MELANG,"Melaka,Negeri Sembilan","KUALA PILAH, SEREMBAN, JEMPOL, REMBAU, TAMPIN, ALOR GAJAH",6/8/2021,14/8/2021,highRisk,ended,0,611,0,1884,0,12,599,,
KLUSTER BUKIT RAHMAN LAPAN,Selangor,GOMBAK,6/8/2021,6/9/2021,workplace,ended,0,29,0,127,0,1,28,,
KLUSTER KAMPUNG BUNDU,Sabah,KUALA PENYU,6/8/2021,6/9/2021,community,ended,0,40,0,303,0,0,40,,
KLUSTER JALAN LOGAH SEGAMAT,Johor,SEGAMAT,6/8/2021,6/10/2021,religious,ended,0,22,0,183,0,1,21,,
KLUSTER JALAN KESANG,Johor,"TANGKAK, MUAR",6/8/2021,6/12/2021,workplace,ended,0,26,0,262,0,0,26,,
KLUSTER DAH 90 INDUSTRI SUNGAI PETANI,Kedah,KUALA MUDA,7/8/2021,8/2/2021,workplace,ended,0,81,0,236,0,0,81,,
KLUSTER TAMAN PERUSAHAAN KEPONG,W.P. Kuala Lumpur,"KEPONG, TITIWANGSA, CHERAS",7/8/2021,8/5/2021,workplace,ended,0,14,0,70,0,0,14,,
KLUSTER INDUSTRI SUNGAI LALANG,Selangor,HULU LANGAT,7/8/2021,8/5/2021,workplace,ended,0,116,0,545,0,1,115,,
KLUSTER INDUSTRI BUNGA TANJUNG,Negeri Sembilan,"SEREMBAN, JELEBU, REMBAU, KUALA PILAH",7/8/2021,8/6/2021,workplace,ended,0,77,0,241,0,0,77,,
KLUSTER INDUSTRI SENDAYAN METROPARK,Negeri Sembilan,SEREMBAN,7/8/2021,7/7/2021,workplace,ended,0,32,0,48,0,0,32,,
KLUSTER INDUSTRI BAKRI EMPAT,Johor,MUAR,7/8/2021,7/7/2021,workplace,ended,0,13,0,24,0,0,13,,
KLUSTER JALAN MEDAN PUTRA,W.P. Kuala Lumpur,KEPONG,7/8/2021,7/7/2021,workplace,ended,0,12,0,22,0,0,12,,
KLUSTER KAMPUNG BATU 8 1/4,Kelantan,KOTA BHARU,7/8/2021,7/7/2021,community,ended,0,10,0,15,0,0,10,,
KLUSTER TAMAN TANJUNG MAS,Kelantan,"KOTA BHARU, BACHOK",7/8/2021,8/7/2021,community,ended,0,103,0,156,0,0,103,,
KLUSTER INDUSTRI EMAS SATU,Negeri Sembilan,SEREMBAN,7/8/2021,14/7/2021,workplace,ended,0,154,0,257,0,0,154,,
KLUSTER PUTRA DUA,"Selangor,W.P. Kuala Lumpur,W.P. Putrajaya","PUTRAJAYA, TITIWANGSA, PETALING",7/8/2021,15/7/2021,workplace,ended,0,16,0,43,0,0,16,,
KLUSTER BANDAR BARU SENTUL 2,W.P. Kuala Lumpur,KEPONG,7/8/2021,15/7/2021,community,ended,0,61,0,314,0,0,61,,
KLUSTER JALAN RIA,Johor,MUAR,7/8/2021,16/7/2021,highRisk,ended,0,34,0,65,0,1,33,,
KLUSTER JALAN GEBENG 1/11,Pahang,KUANTAN,7/8/2021,17/7/2021,workplace,ended,0,27,0,156,0,0,27,,
KLUSTER LEBUH PANTAI BARU,Perak,MANJUNG,7/8/2021,17/7/2021,workplace,ended,0,41,0,167,0,0,41,,
KLUSTER JALAN TANAH PUTIH,Pahang,KUANTAN,7/8/2021,18/7/2021,workplace,ended,0,97,0,402,0,1,96,,
KLUSTER TAPAK BINA JALAN SRI PERMAISURI,W.P. Kuala Lumpur,CHERAS,7/8/2021,22/7/2021,workplace,ended,0,137,0,201,0,0,137,,
KLUSTER JALAN DAIMAN,Johor,KOTA TINGGI,7/8/2021,23/7/2021,workplace,ended,0,57,0,186,1,0,57,,
KLUSTER JALAN RADIN DUA,W.P. Kuala Lumpur,LEMBAH PANTAI,7/8/2021,24/7/2021,workplace,ended,0,39,0,61,0,0,39,,
KLUSTER TAPAK BINA JENDERAM HILIR,Selangor,"SEPANG, HULU LANGAT",7/8/2021,26/7/2021,workplace,ended,0,42,0,90,0,0,42,,
KLUSTER LUMADAN,Sabah,"BEAUFORT, PAPAR",7/8/2021,29/7/2021,community,ended,0,94,0,126,0,0,94,,
KLUSTER JALAN HARMONIUM 33,Johor,JOHOR BAHRU,7/8/2021,29/7/2021,workplace,ended,0,40,0,55,0,0,40,,
KLUSTER KAMPUNG ISTIMEWA 2,Sabah,SANDAKAN,7/8/2021,31/7/2021,community,ended,0,53,0,321,0,0,53,,
KLUSTER JALAN JENDERAM HULU,Selangor,"SEPANG, PETALING",7/8/2021,13/8/2021,education,ended,0,86,0,153,0,0,86,,
KLUSTER INDUSTRI JALAN STAPUNAL,Kelantan,"KUALA KRAI, MACHANG",7/8/2021,21/8/2021,workplace,ended,0,204,0,480,0,0,204,,
KLUSTER SEGA,Sarawak,"BAU, KUCHING",7/8/2021,14/9/2021,community,ended,0,193,0,301,0,0,193,,
KLUSTER INDUSTRI JAYA SUNGAI BULOH,Selangor,"GOMBAK, PETALING",7/8/2021,7/11/2021,workplace,ended,0,18,0,67,0,0,18,,
KLUSTER TITIAN 2,W.P. Labuan,LABUAN,7/8/2021,8/11/2021,community,ended,0,182,0,900,0,4,178,,
KLUSTER TAMAN TASEK SOLOK DUA,Perak,KINTA,7/8/2021,7/12/2021,community,ended,0,25,0,40,0,0,25,,
KLUSTER DAH DUA INDUSTRI SUNGAI PETANI,Kedah,KUALA MUDA,8/8/2021,9/1/2021,workplace,ended,0,96,0,169,0,0,96,,
KLUSTER TAPAK BINA JALAN TEKNOKRAT,Selangor,SEPANG,8/8/2021,9/5/2021,workplace,ended,0,164,0,331,0,0,164,,
KLUSTER TAMAN MALIHAH,Sarawak,KUCHING,8/8/2021,8/7/2021,community,ended,0,40,0,176,0,0,40,,
KLUSTER JALAN DING LIK KWONG DUA,Sarawak,SIBU,8/8/2021,8/7/2021,workplace,ended,0,15,0,30,0,0,15,,
KLUSTER BUKIT BAKRI MUAR,Johor,MUAR,8/8/2021,8/7/2021,workplace,ended,0,33,0,42,0,0,33,,
KLUSTER TAPAK BINA JALAN U-THANT 2,W.P. Kuala Lumpur,TITIWANGSA,8/8/2021,8/7/2021,workplace,ended,0,15,0,125,0,0,15,,
KLUSTER JALAN KUALA BESAR,Kelantan,KOTA BHARU,8/8/2021,8/7/2021,community,ended,0,10,0,17,0,0,10,,
KLUSTER TAPAK BINA JALAN KUCHAI MAJU,W.P. Kuala Lumpur,LEMBAH PANTAI,8/8/2021,8/7/2021,workplace,ended,0,118,0,168,0,0,118,,
KLUSTER PERSIARAN LEMAK,W.P. Kuala Lumpur,CHERAS,8/8/2021,8/7/2021,highRisk,ended,0,14,0,19,0,1,13,,
KLUSTER INDUSTRI LORONG TANDANG,Selangor,PETALING,8/8/2021,8/7/2021,workplace,ended,0,26,0,58,0,0,26,,
KLUSTER JALAN STUTONG BARU,Sarawak,KUCHING,8/8/2021,8/7/2021,highRisk,ended,0,22,0,115,0,3,19,,
KLUSTER JALAN RUSA 2,W.P. Kuala Lumpur,CHERAS,8/8/2021,14/8/2021,workplace,ended,0,47,0,177,0,0,47,,
KLUSTER DESA ENAM BELAS,Selangor,SABAK BERNAM,8/8/2021,14/8/2021,community,ended,0,19,0,30,0,0,19,,
KLUSTER DAH KAMPUNG DERANG,Kedah,KOTA SETAR,8/8/2021,14/8/2021,religious,ended,0,46,0,87,0,0,46,,
KLUSTER JALAN KAMPUNG DEMIT,Kelantan,KOTA BHARU,8/8/2021,15/8/2021,education,ended,0,15,0,22,0,0,15,,
KLUSTER JALAN KELICAP 42B,Selangor,KLANG,8/8/2021,15/8/2021,workplace,ended,0,41,0,71,0,0,41,,
KLUSTER KAMPUNG GOK KAPOR,Kelantan,KOTA BHARU,8/8/2021,15/8/2021,community,ended,0,41,0,49,0,1,40,,
KLUSTER KAMPUNG TERSUSUN,Pahang,LIPIS,8/8/2021,16/8/2021,community,ended,0,17,0,308,0,0,17,,
KLUSTER KAMPUNG TOK PAH,Kelantan,KOTA BHARU,8/8/2021,17/8/2021,community,ended,0,21,0,28,0,0,21,,
KLUSTER PAGAR BAGAN SERAI,Perak,KERIAN,8/8/2021,18/8/2021,detentionCentre,ended,0,76,0,96,0,0,76,,
KLUSTER GAJAH MATI JERANTUT,Pahang,JERANTUT,8/8/2021,18/8/2021,community,ended,0,24,0,150,0,1,23,,
KLUSTER PENGADANG BARU,Terengganu,KUALA TERENGGANU,8/8/2021,18/8/2021,community,ended,0,122,0,839,0,3,119,,
KLUSTER INDUSTRI KELULI 11,Johor,JOHOR BAHRU,8/8/2021,18/8/2021,workplace,ended,0,110,0,352,0,0,110,,
KLUSTER PERSIARAN S2,Negeri Sembilan,SEREMBAN,8/8/2021,20/8/2021,workplace,ended,0,42,0,241,0,0,42,,
KLUSTER DAH KAMPUNG SAWA,Kedah,PENDANG,8/8/2021,20/8/2021,community,ended,0,52,0,193,0,2,50,,
KLUSTER RANTAU SEROJA,Pahang,MARAN,8/8/2021,24/8/2021,community,ended,0,61,0,415,0,0,61,,
KLUSTER INDUSTRI MIEL GEBENG,Pahang,KUANTAN,8/8/2021,25/8/2021,workplace,ended,0,48,0,224,0,0,48,,
KLUSTER JALAN BUAN,Sarawak,TATAU ,8/8/2021,25/8/2021,workplace,ended,0,32,0,36,0,0,32,,
KLUSTER TAPAK BINA JALAN AMAN SERENIA,Selangor,"PETALING, SEPANG",8/8/2021,26/8/2021,workplace,ended,0,77,0,182,0,0,77,,
KLUSTER JALAN FERI LAMA,Pahang,ROMPIN,8/8/2021,26/8/2021,community,ended,0,29,0,546,0,1,28,,
KLUSTER SEKSYEN 20 JALAN DARUL NAIM,Kelantan,"KOTA BHARU, PASIR MAS, TANAH MERAH, BACHOK",8/8/2021,27/8/2021,workplace,ended,0,30,0,33,0,0,30,,
KLUSTER KETAPANG HILIR PEKAN,Pahang,PEKAN,8/8/2021,27/8/2021,community,ended,0,67,0,97,0,0,67,,
KLUSTER KAMPUNG PULO ULU,Sarawak,KUCHING,8/8/2021,28/8/2021,community,ended,0,144,0,240,0,0,144,,
KLUSTER INDUSTRI GEBENG 2/1,Pahang,KUANTAN,8/8/2021,31/8/2021,workplace,ended,0,73,0,207,0,1,72,,
KLUSTER BUKIT TENGAH 2,Terengganu,"DUNGUN, KEMAMAN, KUALA TERENGGANU",8/8/2021,16/9/2021,workplace,ended,0,315,0,1406,0,4,311,,
KLUSTER JALAN PASAR BUKIT MERTAJAM 2,Pulau Pinang,"SEBERANG PERAI TENGAH, SEBERANG PERAI SELATAN",8/8/2021,22/9/2021,workplace,ended,0,71,0,130,0,0,71,,
KLUSTER TEMBOK PENOR,Pahang,"KUANTAN, PEKAN",8/8/2021,27/9/2021,detentionCentre,ended,0,496,0,897,0,5,491,,
KLUSTER KAMPUNG PASIR KOTA,Kelantan,KOTA BHARU,8/8/2021,8/10/2021,community,ended,0,26,0,34,0,0,26,,
KLUSTER KAMPUNG CHENDERONG BATU TIMUR,Kelantan,TUMPAT,8/8/2021,8/10/2021,community,ended,0,19,0,27,0,0,19,,
KLUSTER INDUSTRI DUA JALAN BANDAR LAMA,Selangor,"KUALA LANGAT, KLANG",9/8/2021,10/6/2021,workplace,ended,0,35,0,41,0,0,35,,
KLUSTER JALAN CHEMOR ESTATE,Perak,KINTA,9/8/2021,9/7/2021,highRisk,ended,0,75,0,97,0,0,75,,
KLUSTER JALAN KUBANG KACANG,Kelantan,KOTA BHARU,9/8/2021,9/7/2021,community,ended,0,14,0,23,0,0,14,,
KLUSTER INDUSTRI JALAN NURI,Selangor,KUALA LANGAT,9/8/2021,9/7/2021,workplace,ended,0,79,0,122,0,0,79,,
KLUSTER LEMUJAN,Sarawak,PAKAN,9/8/2021,9/7/2021,community,ended,0,38,0,42,0,0,38,,
KLUSTER LORONG PENGGAWA YAHYA,Kelantan,PASIR MAS,9/8/2021,9/7/2021,community,ended,0,5,0,6,0,0,5,,
KLUSTER JALAN PBR 12,Melaka,MELAKA TENGAH,9/8/2021,9/7/2021,workplace,ended,0,25,0,90,0,1,24,,
KLUSTER KAMPUNG KEDAP,Kelantan,"PASIR MAS, MACHANG, KOTA BHARU",9/8/2021,9/7/2021,community,ended,0,14,0,26,0,0,14,,
KLUSTER LORONG MADRASAH,Kelantan,PASIR MAS,9/8/2021,9/7/2021,community,ended,0,9,0,13,0,0,9,,
KLUSTER KAMPUNG KUALA BESAR,Kelantan,KOTA BHARU,9/8/2021,9/7/2021,community,ended,0,9,0,17,0,0,9,,
KLUSTER TAPAK BINA JALAN TENGKU AZIZAH,Johor,JOHOR BAHRU,9/8/2021,9/8/2021,workplace,ended,0,57,0,235,0,0,57,,
KLUSTER DAH EMPAT INDUSTRI SUNGAI PETANI,Kedah,KUALA MUDA,9/8/2021,9/8/2021,workplace,ended,0,53,0,117,0,0,53,,
KLUSTER TAPAK BINA PERSIARAN ELMINA,Selangor,PETALING,9/8/2021,9/8/2021,workplace,ended,0,69,0,131,0,0,69,,
KLUSTER KAMPUNG GONG MANAK,Kelantan,PASIR PUTEH,9/8/2021,9/8/2021,community,ended,0,16,0,20,0,0,16,,
KLUSTER KAMPUNG AYER PAPAN,Perak,KINTA,9/8/2021,9/9/2021,highRisk,ended,0,14,0,31,0,1,13,,
KLUSTER PASAR MATU,Sarawak,MATU,9/8/2021,14/9/2021,workplace,ended,0,57,0,160,0,0,57,,
KLUSTER DAH TAPAK BINA PATANI,Kedah,KUALA MUDA,9/8/2021,14/9/2021,workplace,ended,0,60,0,230,0,0,60,,
KLUSTER TAPAK BINA JALAN KUBANG MENERONG,Pulau Pinang,"SEBERANG PERAI UTARA, SEBERANG PERAI TENGAH",9/8/2021,14/9/2021,workplace,ended,0,215,0,298,0,0,215,,
KLUSTER JALAN SUTERA BAKAR BATU,Johor,JOHOR BAHRU,9/8/2021,15/9/2021,community,ended,0,133,0,193,0,0,133,,
KLUSTER JALAN MAYANG PASIR TIGA,Pulau Pinang,BARAT DAYA DAN TIMUR LAUT,9/8/2021,15/9/2021,workplace,ended,0,49,0,468,0,0,49,,
KLUSTER SEMAMBU EMPAT,Pahang,KUANTAN ,9/8/2021,16/9/2021,workplace,ended,0,33,0,58,0,0,33,,
KLUSTER ZON INDUSTRI BEBAS TIGA,Pulau Pinang,BARAT DAYA,9/8/2021,16/9/2021,workplace,ended,0,22,0,284,0,0,22,,
KLUSTER JALAN KUBANG GOLOK-MERABANG,Kelantan,BACHOK,9/8/2021,17/9/2021,community,ended,0,21,0,43,0,0,21,,
KLUSTER INDUSTRI JALAN JOHOR AYER HITAM,Johor,BATU PAHAT,9/8/2021,18/9/2021,workplace,ended,0,53,0,1276,0,0,53,,
KLUSTER TAPAK BINA JALAN ELEGAN,Selangor,SEPANG ,9/8/2021,18/9/2021,workplace,ended,0,34,0,114,0,0,34,,
KLUSTER SUNGAI TEKAM JERANTUT,Pahang,JERANTUT,9/8/2021,19/9/2021,community,ended,0,32,0,377,0,0,32,,
KLUSTER JALAN SP 5/4,Selangor,KUALA LANGAT,9/8/2021,20/9/2021,education,ended,0,40,0,118,0,0,40,,
KLUSTER LADANG JALAN BAHAU-ROMPIN,Negeri Sembilan,JEMPOL,9/8/2021,22/9/2021,workplace,ended,0,93,0,438,0,1,92,,
KLUSTER INDUSTRI JALAN GANGSA KULAI,Johor,KULAI ,9/8/2021,27/9/2021,workplace,ended,0,128,0,822,0,0,128,,
KLUSTER TAPAK BINA PERSIARAN LAMAN VIEW,Selangor,SEPANG,9/8/2021,30/9/2021,workplace,ended,0,28,0,77,0,0,28,,
KLUSTER TAPAK BINA JALAN TASEK MUTIARA TUJUH,Pulau Pinang,SEBERANG PERAI SELATAN,9/8/2021,9/10/2021,workplace,ended,0,203,0,598,0,0,203,,
KLUSTER JALAN SCIENTEX 20,Johor,KULAI,9/8/2021,9/10/2021,education,ended,0,12,0,48,0,0,12,,
KLUSTER INDUSTRI PERSIARAN PENGKALAN 32,Perak,KINTA,9/8/2021,9/10/2021,workplace,ended,0,42,0,125,0,0,42,,
KLUSTER LORONG PASIR LADA,Kelantan,KOTA BHARU,9/8/2021,9/10/2021,community,ended,0,13,0,19,0,0,13,,
KLUSTER INDUSTRI DUA JALAN ANGGERIK MOKARA 47,Selangor,KLANG,9/8/2021,9/11/2021,workplace,ended,0,53,0,170,0,0,53,,
KLUSTER INDUSTRI GEMILANG KLUANG,Johor,KLUANG,10/8/2021,10/7/2021,workplace,ended,0,12,0,40,0,0,12,,
KLUSTER JALAN BUDIMAN 25,W.P. Kuala Lumpur,CHERAS,10/8/2021,10/7/2021,workplace,ended,0,12,0,30,0,0,12,,
